Position,Force,Speed
-31.00600052,-4.619999886,4.909999847
-93.50499725,-5.25,6.690000057
-157.2259979,-5.840000153,8.020000458
-219.2369995,-6.25,9.109999657
-278.3190002,-6.5,10.43999958
-332.7630005,-6.730000019,11.61999989
-395.9949951,-6.989999771,13.22000027
-450.927002,-7.150000095,14.34000015
-516.8449707,-7.340000153,15.06999969
-570.5560303,-7.46999979,16.29000092
-631.3469849,-7.579999924,17.17000008
-690.6729736,-7.75,17.90999985
-752.1959839,-7.809999943,18.61000061
-816.1610107,-7.949999809,19.53000069
-889.1589966,-8.069999695,20.92000008
-939.2080078,-8.130000114,21.55999947
-1009.031982,-8.220000267,21.82999992
-1057.371948,-8.239999771,22.79000092
-1112.303955,-8.229999542,23.5
-1188.963989,-8.300000191,23.90999985
-1240.478027,-8.359999657,24.29999924
-1293.699951,-8.420000076,24.69000053
-1376.219971,-8.409999847,25.94000053
-1438.475952,-8.43999958,26.56999969
-1494.384033,-8.43999958,26.36000061
-1548.827026,-8.539999962,27.29999924
-1610.838989,-8.479999542,27.72999954
-1668.212036,-8.510000229,27.81999969
-1725.340942,-8.569999695,28.09000015
-1785.399048,-8.56000042,28.46999931
-1849.608032,-8.619999886,29.73999977
-1922.362061,-8.640000343,30.59000015
-1955.564941,-8.619999886,30.87999916
-2021.728027,-8.670000076,31.10000038
-2090.574951,-8.659999847,31.85000038
-2156.004883,-8.640000343,31.73999977
-2217.528076,-8.710000038,31.60000038
-2279.540039,-8.680000305,31.64999962
-2312.254883,-8.670000076,31.80999947
-2382.079102,-8.720000267,32.72999954
-2454.344971,-8.680000305,33.04999924
-2519.530029,-8.68999958,33.04000092
-2553.954102,-8.770000458,33.54000092
-2628.416992,-8.720000267,33.65999985
-2694.579102,-8.760000229,33.59999847
-2760.985107,-8.779999733,33.63999939
-2795.165039,-8.739999771,33.58000183
-2863.280029,-8.739999771,34.15000153
-2940.916992,-8.75,34.81999969
-2977.293945,-8.819999695,34.47999954
-3040.770996,-8.819999695,34.72999954
-3115.966064,-8.779999733,34.81999969
-3150.389893,-8.800000191,34.66999817
-3217.283936,-8.789999962,34.47999954
-3284.910889,-8.779999733,34.59000015
-3361.083008,-8.81000042,35.61999893
-3401.365967,-8.819999695,36.18999863
-3480.468018,-8.829999924,36.5
-3518.798096,-8.800000191,36.70000076
-3597.410889,-8.819999695,37.11000061
-3635.49707,-8.800000191,37.27999878
-3710.691895,-8.800000191,37.06000137
-3784.178955,-8.850000381,37.36999893
-3823.729004,-8.859999657,37.91999817
-3910.398926,-8.829999924,38.84999847
-3953.124023,-8.819999695,39.00999832
-3993.650879,-8.840000153,39.27000046
-4079.589111,-8.850000381,40.18000031
-4124.021973,-8.859999657,40.22999954
-4204.588867,-8.850000381,40.22999954
-4245.116211,-8.869999886,40.38000107
-4328.855957,-8.829999924,40.81999969
-4372.312988,-8.840000153,41.22999954
-4417.479004,-8.890000343,41.66999817
-4504.881836,-8.899999619,41.65999985
-4546.629883,-8.899999619,41.90000153
-4590.818848,-8.899999619,41.88999939
-4674.070801,-8.909999847,41.47999954
-4711.913086,-8.909999847,41.20999908
-4788.329102,-8.869999886,40.75
-4870.359863,-8.930000305,41.22999954
-4914.306152,-8.930000305,41.5
-4958.495117,-8.850000381,41.40999985
-5038.329102,-8.850000381,41.29999924
-5080.320801,-8.930000305,41.34000015
-5163.573242,-8.869999886,41.09999847
-5202.146973,-8.909999847,40.93999863
-5281.980957,-8.869999886,40.77999878
-5321.532227,-8.930000305,40.84999847
-5406.980957,-8.859999657,41.52999878
-5452.146973,-8.880000114,41.36000061
-5491.941895,-8.899999619,41.13999939
-5576.415039,-8.899999619,41.65999985
-5619.140137,-8.930000305,41.66999817
-5698.974121,-8.949999809,40.99000168
-5736.570801,-8.93999958,41.04999924
-5818.603027,-8.949999809,41.38000107
-5863.523926,-8.93999958,41.81000137
-5954.588867,-8.899999619,42.20000076
-5997.558105,-8.880000114,42.43999863
-6042.234863,-8.920000076,42.88000107
-6134.520996,-8.93999958,43.00999832
-6176.513184,-8.909999847,42.65999985
-6215.818848,-8.880000114,42.49000168
-6299.070801,-8.909999847,42.45000076
-6341.062988,-8.960000038,42.81000137
-6434.081055,-8.880000114,43.16999817
-6477.049805,-8.920000076,43.06999969
-6519.041992,-8.909999847,43.09999847
-6606.443848,-8.93999958,42.93999863
-6646.972168,-8.930000305,42.63999939
-6726.073242,-8.93999958,42.06999969
-6765.624023,-8.899999619,41.86000061
-6845.702148,-8.909999847,41.84999847
-6888.670898,-8.920000076,42.40999985
-6936.521973,-8.890000343,42.47999954
-7020.019043,-8.960000038,42.15000153
-7060.790039,-8.920000076,42.36999893
-7146.23877,-8.93999958,41.81999969
-7184.081055,-8.899999619,41.49000168
-7259.76416,-8.899999619,40.81999969
-7297.850098,-8.93999958,40.77000046
-7380.85791,-8.899999619,41.25
-7424.803223,-8.930000305,41.20000076
-7504.148926,-8.909999847,40.88999939
-7544.432129,-8.909999847,41
-7627.439941,-8.909999847,40.81999969
-7666.501953,-8.920000076,40.59000015
-7743.407227,-8.930000305,40.38999939
-7783.689941,-8.970000267,40.61999893
-7871.091797,-8.979999542,41.52000046
-7917.479004,-8.979999542,41.77999878
-7961.667969,-8.970000267,41.79999924
-8046.384766,-8.949999809,42.20999908
-8091.550781,-8.899999619,42.43999863
-8136.229004,-8.930000305,42.38000107
-8217.28418,-8.960000038,41.95000076
-8257.811523,-8.949999809,41.90999985
-8339.842773,-8.979999542,41.88999939
-8382.811523,-8.979999542,42.25
-8472.411133,-8.930000305,42.45000076
-8515.135742,-8.930000305,42.29000092
-8555.907227,-8.909999847,42.41999817
-8640.135742,-8.899999619,42.09999847
-8680.907227,-8.920000076,41.75
-8757.323242,-8.979999542,41.02000046
-8794.432617,-8.970000267,40.88000107
